date,max_temp_C,min_temp_C,avg_temp_C,utc_time,local_time,temperature,feels_like,precip_mm,humidity,visibility,pressure,cloud_cover,wind_speed
2024-02-01,29,18,22,00:00,2024-02-01 07:00,18,18,0.2,92,9,1014,76,4
2024-02-01,29,18,22,03:00,2024-02-01 10:00,18,18,0.0,92,10,1013,27,5
2024-02-01,29,18,22,06:00,2024-02-01 13:00,18,18,0.0,90,10,1014,40,3
2024-02-01,29,18,22,09:00,2024-02-01 16:00,27,29,0.2,71,9,1014,74,2
2024-02-01,29,18,22,12:00,2024-02-01 19:00,28,32,1.0,75,10,1012,59,3
2024-02-01,29,18,22,15:00,2024-02-01 22:00,26,29,0.9,88,10,1011,93,2
2024-02-01,29,18,22,18:00,2024-02-02 01:00,24,26,3.9,96,7,1012,61,5
2024-02-01,29,18,22,21:00,2024-02-02 04:00,19,19,0.2,93,2,1015,81,5
2024-02-02,28,19,23,00:00,2024-02-02 07:00,21,21,0.8,93,10,1013,53,0
2024-02-02,28,19,23,03:00,2024-02-02 10:00,21,21,0.3,93,9,1012,72,3
2024-02-02,28,19,23,06:00,2024-02-02 13:00,20,20,0.0,90,10,1013,70,2
2024-02-02,28,19,23,09:00,2024-02-02 16:00,27,30,0.4,78,5,1014,74,1
2024-02-02,28,19,23,12:00,2024-02-02 19:00,28,31,1.3,79,10,1012,74,3
2024-02-02,28,19,23,15:00,2024-02-02 22:00,26,30,1.8,86,10,1010,70,1
2024-02-02,28,19,23,18:00,2024-02-03 01:00,24,27,1.2,94,10,1011,70,4
2024-02-02,28,19,23,21:00,2024-02-03 04:00,20,20,0.7,95,10,1014,59,1
2024-02-03,28,18,22,00:00,2024-02-03 07:00,19,19,0.0,91,10,1012,83,1
2024-02-03,28,18,22,03:00,2024-02-03 10:00,19,19,0.3,93,5,1011,75,4
2024-02-03,28,18,22,06:00,2024-02-03 13:00,19,19,0.0,92,10,1012,30,4
2024-02-03,28,18,22,09:00,2024-02-03 16:00,27,30,0.4,78,9,1013,81,3
2024-02-03,28,18,22,12:00,2024-02-03 19:00,28,32,1.1,80,10,1011,52,2
2024-02-03,28,18,22,15:00,2024-02-03 22:00,25,28,1.9,89,10,1010,57,2
2024-02-03,28,18,22,18:00,2024-02-04 01:00,24,26,9.3,95,3,1011,78,3
2024-02-03,28,18,22,21:00,2024-02-04 04:00,18,18,0.8,96,10,1014,79,2
2024-02-04,28,18,22,00:00,2024-02-04 07:00,18,18,0.2,95,10,1012,62,3
2024-02-04,28,18,22,03:00,2024-02-04 10:00,18,18,0.4,95,10,1011,60,4
2024-02-04,28,18,22,06:00,2024-02-04 13:00,18,18,0.0,94,10,1012,89,4
2024-02-04,28,18,22,09:00,2024-02-04 16:00,25,27,0.7,79,10,1013,79,4
2024-02-04,28,18,22,12:00,2024-02-04 19:00,26,29,1.4,89,10,1012,74,2
2024-02-04,28,18,22,15:00,2024-02-04 22:00,25,27,9.2,92,5,1010,76,4
2024-02-04,28,18,22,18:00,2024-02-05 01:00,23,25,2.8,96,7,1012,72,7
2024-02-04,28,18,22,21:00,2024-02-05 04:00,21,21,0.0,94,2,1015,51,4
2024-02-05,28,21,24,00:00,2024-02-05 07:00,22,25,0.1,95,2,1014,62,5
2024-02-05,28,21,24,03:00,2024-02-05 10:00,21,21,0.0,94,10,1013,38,5
2024-02-05,28,21,24,06:00,2024-02-05 13:00,22,25,0.0,94,10,1014,44,6
2024-02-05,28,21,24,09:00,2024-02-05 16:00,27,29,0.0,77,10,1014,85,4
2024-02-05,28,21,24,12:00,2024-02-05 19:00,28,31,0.6,72,9,1012,78,4
2024-02-05,28,21,24,15:00,2024-02-05 22:00,26,29,1.2,86,10,1011,56,6
2024-02-05,28,21,24,18:00,2024-02-06 01:00,24,26,1.4,95,10,1013,56,5
2024-02-05,28,21,24,21:00,2024-02-06 04:00,22,22,0.0,94,2,1015,78,4
2024-02-06,30,20,24,00:00,2024-02-06 07:00,22,22,0.0,94,10,1014,71,6
