trip_id,route_id,start_time,end_time,duration,distance,start_stop,end_stop,total_duration,stops
1,10,2024-02-01 06:54:08,2024-02-01 07:29:43,35.583333333333336,8.718284957334868,SPBU Tlogomas,SMP 4,35.583333333333336,
2,10,2024-02-01 07:29:43,2024-02-02 07:30:22,1440.65,12.737113562913157,SMP 4,SMP 4,1440.65,6.0
3,10,2024-02-02 07:30:22,2024-02-05 07:32:00,4321.633333333333,12.93093017024683,SMP 4,SMP 4,4321.633333333333,6.0
4,10,2024-02-05 07:32:00,2024-02-06 07:30:56,1438.9333333333332,12.737113562913157,SMP 4,SMP 4,1438.9333333333334,6.0
5,10,2024-02-06 07:30:56,2024-02-07 07:36:49,1445.8833333333332,12.737113562913157,SMP 4,SMP 4,1445.8833333333334,6.0
6,10,2024-02-07 07:36:49,2024-02-12 07:30:11,7193.366666666667,14.758996642686427,SMP 4,SMP 4,7193.366666666667,6.0
7,10,2024-02-12 07:30:11,2024-02-13 07:31:12,1441.0166666666667,13.842595597892085,SMP 4,SMP 4,1441.0166666666667,7.0
8,10,2024-02-13 07:31:12,2024-02-15 07:35:55,2884.7166666666662,14.565180035352753,SMP 4,SMP 4,2884.7166666666667,6.0
9,10,2024-02-15 07:35:55,2024-02-16 07:34:35,1438.6666666666667,14.565180035352753,SMP 4,SMP 4,1438.6666666666667,7.0
10,10,2024-02-16 07:34:35,2024-02-19 07:31:05,4316.5,14.036412205225758,SMP 4,SMP 4,4316.5,7.0
11,10,2024-02-19 07:31:05,2024-02-20 07:31:24,1440.3166666666666,14.565180035352753,SMP 4,SMP 4,1440.3166666666666,6.0
12,10,2024-02-20 07:31:24,2024-02-21 07:32:00,1440.6,13.842595597892085,SMP 4,SMP 4,1440.6,7.0
13,10,2024-02-21 07:32:00,2024-02-22 07:15:31,1423.5166666666667,10.515099400576275,SMP 4,SMA 8,1423.5166666666667,6.0
14,10,2024-02-22 07:15:31,2024-02-23 07:30:14,1454.7166666666667,11.49254818015672,SMA 8,SMP 4,1454.7166666666667,4.0
15,10,2024-02-23 07:30:14,2024-02-26 07:33:45,4323.516666666666,14.758996642686427,SMP 4,SMP 4,4323.516666666666,6.0
16,10,2024-02-26 07:33:45,2024-02-27 07:29:14,1435.4833333333333,14.565180035352753,SMP 4,SMP 4,1435.4833333333333,7.0
17,10,2024-02-27 07:29:14,2024-02-28 07:31:25,1442.1833333333334,14.565180035352753,SMP 4,SMP 4,1442.1833333333334,7.0
18,10,2024-02-28 07:31:25,2024-02-29 07:32:39,1441.2333333333333,14.565180035352753,SMP 4,SMP 4,1441.2333333333333,7.0
19,10,2024-02-29 07:32:39,2024-03-01 07:29:53,1437.2333333333333,13.842595597892085,SMP 4,SMP 4,1437.2333333333333,7.0
20,10,2024-03-01 07:29:53,2024-03-04 07:33:27,4323.566666666667,14.758996642686427,SMP 4,SMP 4,4323.566666666667,6.0
21,10,2024-03-04 07:33:27,2024-03-05 07:31:39,1438.2,14.565180035352753,SMP 4,SMP 4,1438.2,7.0
22,10,2024-03-05 07:31:39,2024-03-06 07:36:26,1444.7833333333333,13.90784563195605,SMP 4,SMP 4,1444.7833333333333,7.0
23,10,2024-03-06 07:36:26,2024-03-07 07:33:10,1436.7333333333333,13.842595597892085,SMP 4,SMP 4,1436.7333333333333,6.0
24,10,2024-03-07 07:33:10,2024-03-08 07:38:45,1445.5833333333333,14.565180035352753,SMP 4,SMP 4,1445.5833333333333,6.0
25,10,2024-03-08 07:38:45,2024-03-13 07:33:01,7194.266666666666,11.054307332556606,SMP 4,SMA Dempo,7194.266666666666,7.0
26,10,2024-03-13 07:33:01,2024-03-14 07:33:18,1440.2833333333333,9.992343688815897,SMA Dempo,SMA Dempo,1440.2833333333333,5.0
27,10,2024-03-14 07:33:18,2024-03-15 07:49:20,1456.0333333333333,13.504312940958451,SMA Dempo,SMP 4,1456.0333333333333,3.0
28,10,2024-03-15 07:49:20,2024-03-18 07:48:37,4319.283333333333,14.565180035352753,SMP 4,SMP 4,4319.283333333334,6.0
29,10,2024-03-18 07:48:37,2024-03-19 07:46:46,1438.1499999999999,14.565180035352753,SMP 4,SMP 4,1438.15,7.0
30,10,2024-03-19 07:46:46,2024-03-20 07:48:56,1442.1666666666667,13.715673235809039,SMP 4,SMP 4,1442.1666666666667,7.0
31,10,2024-03-20 07:48:56,2024-03-21 07:45:22,1436.4333333333334,13.90784563195605,SMP 4,SMP 4,1436.4333333333334,5.0
