iter	RMSE
0	4.576805807
1	4.548866674
2	4.525120898
3	4.504984412
4	4.48449709
5	4.469558504
6	4.448084317
7	4.421492406
8	4.406030881
9	4.391877375
10	4.367396589
11	4.355029174
12	4.338573844
13	4.323293388
14	4.31569294
15	4.3089448
16	4.285321607
17	4.269945568
18	4.244478573
19	4.225641603
20	4.20223877
21	4.187400259
22	4.164747389
23	4.140977759
24	4.12401897
25	4.110396272
26	4.093390786
27	4.073941447
28	4.056594623
29	4.037892967
30	4.024147346
31	4.009533367
32	3.992341483
33	3.970771532
34	3.951147473
35	3.934437008
36	3.919448396
37	3.899168298
38	3.877603406
39	3.860763226
40	3.843890289
41	3.821804609
42	3.806054169
43	3.783433524
44	3.77469812
45	3.758500174
46	3.753837008
47	3.732141598
48	3.717545931
49	3.704723575
50	3.684796005
51	3.672231325
52	3.650834766
53	3.633279641
54	3.621652741
55	3.606046094
56	3.590413428
57	3.583311871
58	3.567907125
59	3.549110424
60	3.534942292
61	3.517856822
62	3.503106834
63	3.489826212
64	3.477820743
65	3.464243118
66	3.444257553
67	3.431415245
68	3.422439972
69	3.407964911
70	3.39075851
71	3.375582997
72	3.360198817
73	3.347290593
74	3.332203092
75	3.319352444
76	3.31219518
77	3.300556858
78	3.286856573
79	3.274867286
80	3.261564915
81	3.248592754
82	3.237112287
83	3.226956614
84	3.22265456
85	3.214797404
86	3.207218111
87	3.199184974
88	3.181943554
89	3.170728102
90	3.158653781
91	3.147319507
92	3.140370559
93	3.128432404
94	3.122582682
95	3.108291849
96	3.093830863
97	3.082578018
98	3.073036956
99	3.063980249
100	3.050706427
101	3.036113344
102	3.025622349
103	3.010957732
104	2.999578871
105	2.991172814
106	2.98180903
107	2.971668113
108	2.962361437
109	2.957465962
110	2.950267748
111	2.943513539
112	2.931656762
113	2.922956164
114	2.91218241
115	2.903230595
116	2.896236299
117	2.891230002
118	2.884702765
119	2.871937083
120	2.864839175
121	2.862312378
122	2.853649353
123	2.841806026
124	2.836620248
125	2.831431194
126	2.822115742
127	2.809899383
128	2.802489935
129	2.800718592
130	2.793017327
131	2.784312421
132	2.772689977
133	2.76436069
134	2.752046009
135	2.744948559
136	2.735888476
137	2.726919959
138	2.718982263
139	2.715986529
140	2.709749404
141	2.701196388
142	2.693895024
143	2.685218224
144	2.679172329
145	2.670884693
146	2.662049407
147	2.652193338
148	2.642481245
149	2.640097924
150	2.634931258
151	2.627870107
152	2.62001295
153	2.613792037
154	2.606624542
155	2.60328737
156	2.596688983
157	2.590040874
158	2.580962007
159	2.577158861
160	2.571192552
161	2.56513875
162	2.555379941
163	2.548018037
164	2.541813793
165	2.536276598
166	2.530854862
167	2.525640622
168	2.516927361
169	2.513568755
170	2.506923601
171	2.503544144
172	2.498204474
173	2.489704444
174	2.488669308
175	2.486471156
176	2.482915666
177	2.477529062
178	2.471540023
179	2.466919385
180	2.461238734
181	2.45507024
182	2.449364786
183	2.447402428
184	2.442550545
185	2.438548249
186	2.432789063
187	2.42631514
188	2.419933512
189	2.41225007
190	2.407619935
191	2.40531767
192	2.401219937
193	2.397024725
194	2.392959887
195	2.391172086
196	2.387637611
197	2.381379561
198	2.377649391
199	2.373406505
200	2.36729985
201	2.363929088
202	2.361489268
203	2.356196144
204	2.351863465
205	2.349606067
206	2.34429289
207	2.340666721
208	2.336680912
209	2.330069222
210	2.327729214
211	2.325396405
212	2.322093937
213	2.319396808
214	2.318192517
215	2.314172917
216	2.311881988
217	2.309438327
218	2.304975956
219	2.302066537
220	2.298522704
221	2.295514887
222	2.291252954
223	2.287514632
224	2.283384635
225	2.280445435
226	2.277976593
227	2.274496232
228	2.27160791
229	2.267252598
230	2.266600857
231	2.262403654
232	2.257048982
233	2.252987783
234	2.249278644
235	2.248438492
236	2.245197915
237	2.242573134
238	2.236543238
239	2.233776785
240	2.228026876
241	2.224661689
242	2.220368411
243	2.215612763
244	2.211856084
245	2.209380375
246	2.206248704
247	2.202466039
248	2.197620152
249	2.195435807
250	2.190745906
251	2.189643228
252	2.186439659
253	2.183586887
254	2.18226753
255	2.179756858
256	2.175657672
257	2.173062479
258	2.169975857
259	2.169375516
260	2.168865549
261	2.16623866
262	2.162060677
263	2.160198302
264	2.15694659
265	2.15246966
266	2.14887338
267	2.143824116
268	2.141700999
269	2.137990797
270	2.135679455
271	2.13340382
272	2.13049051
273	2.12853702
274	2.125649177
275	2.122792877
276	2.120172378
277	2.116897912
278	2.115314867
279	2.113287966
280	2.111141923
281	2.107643063
282	2.105307348
283	2.101420927
284	2.099938223
285	2.098746811
286	2.096550023
287	2.092202678
288	2.089322636
289	2.08723583
290	2.083891174
291	2.082852705
292	2.07883946
293	2.076125903
294	2.074595478
295	2.071820807
296	2.068330985
297	2.065939168
298	2.063656163
299	2.061601479
300	2.060691564
301	2.05887656
302	2.057498412
303	2.055631883
304	2.054530644
305	2.053521432
306	2.051535858
307	2.049777203
308	2.047274589
309	2.045015827
310	2.042622065
311	2.040611359
312	2.038257765
313	2.038084503
314	2.034781157
315	2.031961509
316	2.030986631
317	2.029533989
318	2.027578071
319	2.025328009
320	2.022615258
321	2.021272048
322	2.019340565
323	2.017245812
324	2.015058467
325	2.012908501
326	2.011703643
327	2.009968245
328	2.008244367
329	2.00710714
330	2.00511581
331	2.002958925
332	2.002058998
333	2.000355967
334	1.999729003
335	1.998596423
336	1.99613301
337	1.993848065
338	1.993116357
339	1.991591968
340	1.990871838
341	1.98848586
342	1.987242726
343	1.984376241
344	1.982660628
345	1.981600081
346	1.980785747
347	1.978402783
348	1.975994735
349	1.974713894
350	1.973091907
351	1.970581178
352	1.967960915
353	1.96763399
354	1.966806765
355	1.965877491
356	1.963820056
357	1.962371355
358	1.960847194
359	1.959179305
360	1.957201958
361	1.95502643
362	1.953476961
363	1.953042427
364	1.951337069
365	1.949911425
366	1.948300745
367	1.946425395
368	1.945731159
369	1.945013899
370	1.943200113
371	1.942588827
372	1.941662129
373	1.940357174
374	1.93993815
375	1.938457605
376	1.937213893
377	1.93641678
378	1.934021592
379	1.93340615
380	1.932132558
381	1.930914738
382	1.929066476
383	1.928197803
384	1.927278144
385	1.926920142
386	1.925296513
387	1.924475506
388	1.923473121
389	1.922636112
390	1.920845447
391	1.920031204
392	1.918678503
393	1.917477044
394	1.91578562
395	1.914309246
396	1.912840046
397	1.910525442
398	1.909266096
399	1.908955212
400	1.908710613
401	1.907470786
402	1.907275664
403	1.906895641
404	1.90589357
405	1.904444719
