iter	Passed	Remaining
0	0	545
1	1	536
2	1	557
3	2	527
4	2	505
5	2	487
6	3	479
7	3	471
8	4	464
9	4	460
10	5	461
11	5	462
12	6	474
13	6	481
14	7	485
15	7	470
16	8	465
17	8	459
18	8	453
19	9	455
20	9	454
21	10	456
22	10	455
23	11	454
24	11	457
25	12	463
26	12	468
27	13	467
28	13	468
29	14	466
30	14	463
31	15	462
32	15	460
33	16	458
34	16	456
35	16	454
36	17	453
37	17	453
38	18	454
39	18	455
40	19	453
41	19	451
42	20	451
43	20	450
44	21	449
45	21	448
46	22	448
47	22	448
48	23	447
49	23	446
50	24	449
51	24	449
52	25	448
53	25	447
54	26	447
55	26	446
56	26	446
57	27	445
58	27	443
59	28	442
60	28	442
61	29	442
62	29	443
63	30	443
64	30	443
65	31	441
66	31	440
67	32	439
68	32	438
69	32	437
70	33	436
71	33	434
72	34	433
73	34	431
74	34	430
75	35	431
76	36	431
77	36	430
78	36	429
79	37	429
80	37	429
81	38	428
82	38	428
83	39	427
84	39	426
85	40	425
86	40	426
87	41	428
88	41	429
89	42	430
90	43	430
91	43	430
92	44	431
93	44	431
94	45	431
95	45	431
96	46	431
97	47	433
98	47	435
99	48	436
100	48	436
101	49	436
102	50	436
103	50	436
104	51	438
105	51	438
106	52	438
107	53	437
108	53	437
109	54	437
110	54	437
111	55	436
112	55	436
113	56	437
114	56	438
115	57	439
116	58	439
117	58	439
118	59	441
119	60	442
120	60	442
121	61	442
122	62	442
123	62	442
124	63	443
125	64	444
126	65	447
127	65	449
128	66	449
129	67	448
130	67	448
131	68	447
132	68	447
133	69	446
134	69	445
135	70	445
136	70	445
137	71	445
138	71	445
139	72	444
140	73	449
141	74	451
142	75	452
143	76	453
144	76	452
145	77	453
146	78	453
147	78	453
148	79	453
149	79	453
150	80	454
151	81	454
152	82	453
153	82	454
154	83	454
155	83	454
156	84	454
157	85	453
158	85	454
159	86	454
160	87	454
161	88	455
162	89	457
163	90	462
164	91	462
165	92	462
166	92	462
167	93	461
168	93	461
169	94	462
170	95	462
171	96	462
172	96	462
173	97	461
174	98	462
175	99	464
176	100	465
177	100	465
178	101	465
179	102	465
180	102	464
181	103	464
182	104	464
183	104	464
184	105	464
185	105	463
186	106	462
187	106	461
188	107	460
189	107	460
190	108	459
191	109	458
192	109	457
193	110	457
194	110	456
195	111	455
196	111	455
197	112	454
198	112	454
199	113	453
200	113	452
201	114	451
202	115	451
203	115	450
204	116	450
205	116	449
206	117	448
207	117	447
208	118	447
209	118	446
210	119	445
211	119	444
212	120	443
213	120	443
214	121	442
215	121	442
216	122	441
217	122	440
218	123	440
219	124	439
220	124	439
221	125	438
222	125	438
223	126	438
224	127	437
225	127	437
226	128	436
227	128	435
228	129	434
229	129	434
230	130	433
231	130	433
232	131	432
233	132	432
234	132	431
235	133	431
236	148	476
237	148	476
238	149	477
239	150	476
240	151	476
241	151	476
242	152	474
243	152	473
244	153	472
245	153	471
246	154	470
247	155	471
248	156	471
249	156	470
250	157	470
251	158	469
252	158	468
253	159	467
254	159	466
255	160	465
256	161	466
257	162	466
258	162	465
259	163	464
260	163	464
261	164	463
262	165	462
263	165	461
264	166	460
265	166	460
266	167	460
267	168	459
268	168	458
269	169	458
270	170	457
271	170	456
272	171	455
273	171	454
274	172	454
275	173	454
276	173	454
277	174	453
278	175	452
279	175	451
280	176	450
281	176	449
282	177	449
283	177	448
284	178	447
285	179	447
286	179	446
287	180	445
288	180	444
289	181	443
290	181	442
291	182	441
292	182	440
293	183	440
294	183	439
295	184	438
296	184	437
297	185	437
298	186	436
299	186	435
300	187	434
301	187	433
302	188	432
303	188	431
304	189	431
305	189	430
306	190	429
307	191	429
308	191	428
309	192	427
310	192	426
311	193	425
312	193	425
313	194	424
314	195	424
315	195	423
316	196	422
317	196	422
318	197	421
319	197	420
320	198	419
321	198	418
322	199	418
323	199	417
324	200	416
325	200	415
326	201	414
327	202	414
328	202	413
329	203	412
330	203	411
331	204	411
332	204	410
333	205	409
334	205	408
335	206	407
336	207	407
337	207	406
338	208	406
339	209	406
340	209	405
