model,fs_method,rmse_train,rmse_test,rmse_diff_pct,mae_train,mae_test,mae_diff_pct,r2_train,r2_test,r2_diff_pct,num_feat,cv_r2_mean
CatBoost_mutual_info,mutual_info,1.3792187986365814,1.4815773069857356,7.421484426571054,0.8663848185766617,0.9013555099369629,4.036392444843701,0.9101155565614296,0.8709909405941685,4.2988624560029,10,0.8228832290786695
CatBoost_ga,ga,1.3995327027718993,1.4176261235641112,1.29281872130435,0.8605482405568313,0.8548898399621837,-0.6575343865657385,0.9074483214057445,0.881887737321455,2.816753690688761,10,0.819308173568227
CatBoost_none,none,1.3357638344516187,1.488679222289172,11.44778619495495,0.8379243227309633,0.8897120972399392,6.180483500012165,0.915690296983016,0.8697511708828471,5.016884666303381,16,0.810007730764424
Decision Tree_f_regression,f_regression,1.6464890208041447,1.906468474593327,15.789929389399044,0.9247689663099317,1.0618839922173253,14.826949314110122,0.8719039092968357,0.7863854501076062,9.808243577918761,10,0.8083394654073551
XGBoost_ga,ga,1.0669746320651734,1.5071246099124425,41.25215020298473,0.6751602607782284,0.8775665203318845,29.978994812335525,0.9462069231536339,0.8665034946112513,8.42346706540016,10,0.8077198408755548
XGBoost_mutual_info,mutual_info,0.9883679032391091,1.416273003958354,43.29411136449306,0.6348264349342179,0.8462285117242212,33.30076776212215,0.9538410985126204,0.8821131052683444,7.51991011460144,10,0.8040393393156915
Random Forest_f_regression,f_regression,1.6382345517590988,1.5605327759206562,-4.743018986811641,0.8938187695385503,0.9275618347257981,3.7751573738676623,0.8731850775491772,0.8568743858440515,1.8679535558378872,10,0.800714067531259
CatBoost_llarsic,llarsic,1.391918156126169,1.4019904379352484,0.7236260095285568,0.877884111064817,0.8435829893551056,-3.907249405403453,0.9084526879460961,0.8844788038062157,2.6389799334605475,10,0.8000637261015703
Decision Tree_llarsic,llarsic,1.6783003017287703,1.845961928260229,9.989965821894641,0.9439699180295064,1.0305152980795578,9.168234961418145,0.8669062863633386,0.7997294670451316,7.749028975209408,10,0.7994710721407403
Random Forest_mutual_info,mutual_info,1.6453307728404354,1.5054158350666522,-8.503757425763053,0.8982073666569169,0.8917932400513198,-0.7141030950870741,0.8720840682275155,0.8668060391393936,0.605220216767559,10,0.7992579948499803
