Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure,Month_Joined,Living_With,Is_Parent,Family_Size,Generation,Total_Accepted_Campaigns,AcceptedAnyCmp,Engagement_Rate,Total_Purchases,Total_Spending,Spend_per_Purchase,Recency_Score,Frequency_Score,Monetary_Score,Avg_RFM,RFM_Segment
Bachelor's Degree,Single,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,66,663,9,Alone,0,0,Baby_Boomers,1,1,16.666666666666664,25,1617,64.68,3,5,5,4.333333333333333,Champions
Bachelor's Degree,Single,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,69,113,3,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,6,27,4.5,4,1,1,2.0,New
Bachelor's Degree,Together,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,58,312,8,Alone,0,1,Baby_Boomers,0,0,0.0,21,776,36.95238095238095,4,4,4,4.0,Champions
Bachelor's Degree,Together,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,39,139,2,With_Kids,1,2,Millennials,0,0,0.0,8,53,6.625,4,2,1,2.3333333333333335,New
Doctorate Degree,Married,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,42,161,1,With_Kids,1,2,Generation_X,0,0,0.0,19,422,22.210526315789473,1,4,3,2.6666666666666665,Can't Lose
Master's Degree,Together,62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,56,293,9,With_Teens,1,2,Generation_X,0,0,0.0,22,716,32.54545454545455,5,4,4,4.333333333333333,Champions
Bachelor's Degree,Divorced,55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,52,593,11,With_Teens,1,1,Generation_X,0,0,0.0,21,590,28.095238095238095,4,4,3,3.6666666666666665,Champions
Doctorate Degree,Married,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,38,417,5,With_Kids,1,2,Millennials,0,0,0.0,10,169,16.9,4,2,2,2.6666666666666665,New
Doctorate Degree,Together,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,49,388,6,With_Kids,1,2,Generation_X,1,1,16.666666666666664,6,46,7.666666666666667,5,1,1,2.3333333333333335,New
Bachelor's Degree,Married,51381.5,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,40,226,11,With_Kids,1,2,Millennials,0,0,0.0,4,19,4.75,5,1,1,2.3333333333333335,New
High School,Married,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,47,593,11,Alone,0,1,Generation_X,0,0,0.0,6,61,10.166666666666666,3,1,2,2.0,Promising
Bachelor's Degree,Divorced,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,64,226,11,Alone,0,0,Baby_Boomers,0,0,0.0,16,1102,68.875,1,3,4,2.6666666666666665,Can't Lose
Master's Degree,Divorced,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,71,226,11,With_Kids_and_Teens,1,2,Baby_Boomers,0,0,0.0,15,310,20.666666666666668,3,3,3,3.0,Champions
