"","Call.Id","Agent","Date","Time","Topic","Answered","Resolved","Speed_of_answer_in_seconds","AvgTalkDuration","Satisfaction_rating","AvgTalkDuration_seconds","AvgTalkDuration_minutes","Year","Month","Weekday","Hour","Time_Category"
"1","ID0001","Diane",2021-01-01,"9:12:58","Contract related","Y","Y",109,"0:02:23",3,143.0662037,2.383333333,2021,1,"Fri",9,"Morning"
"2","ID0002","Becky",2021-01-01,"9:12:58","Technical Support","Y","N",70,"0:04:02",3,242.112037,4.033333333,2021,1,"Fri",9,"Morning"
"3","ID0003","Stewart",2021-01-01,"9:47:31","Contract related","Y","Y",10,"0:02:11",3,131.0606481,2.183333333,2021,1,"Fri",9,"Morning"
"4","ID0004","Greg",2021-01-01,"9:47:31","Contract related","Y","Y",53,"0:00:37",2,37.01712963,0.616666667,2021,1,"Fri",9,"Morning"
"5","ID0005","Becky",2021-01-01,"10:00:29","Payment related","Y","Y",95,"0:01:00",3,60.02777778,1,2021,1,"Fri",10,"Morning"
"6","ID0006","Stewart",2021-01-01,"10:00:29","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Fri",10,"Morning"
"7","ID0007","Diane",2021-01-01,"10:22:05","Payment related","Y","Y",24,"0:03:40",2,220.1018519,3.666666667,2021,1,"Fri",10,"Morning"
"8","ID0008","Diane",2021-01-01,"10:22:05","Payment related","Y","Y",22,"0:00:38",4,38.01759259,0.633333333,2021,1,"Fri",10,"Morning"
"9","ID0009","Greg",2021-01-01,"11:13:55","Admin Support","Y","Y",15,"0:06:38",4,398.1842593,6.633333333,2021,1,"Fri",11,"Morning"
"10","ID0010","Jim",2021-01-01,"11:13:55","Streaming","Y","Y",78,"0:01:04",3,64.02962963,1.066666667,2021,1,"Fri",11,"Morning"
"11","ID0011","Joe",2021-01-01,"11:15:22","Payment related","N","N",NA,"",NA,0,0,2021,1,"Fri",11,"Morning"
"12","ID0012","Greg",2021-01-01,"11:15:22","Payment related","Y","Y",50,"0:00:32",4,32.01481481,0.533333333,2021,1,"Fri",11,"Morning"
"13","ID0013","Joe",2021-01-01,"11:52:48","Payment related","Y","Y",84,"0:03:34",3,214.0990741,3.566666667,2021,1,"Fri",11,"Morning"
"14","ID0014","Martha",2021-01-01,"11:52:48","Contract related","Y","Y",89,"0:05:44",3,344.1592593,5.733333333,2021,1,"Fri",11,"Morning"
"15","ID0015","Becky",2021-01-01,"11:55:41","Admin Support","Y","Y",48,"0:03:47",4,227.1050926,3.783333333,2021,1,"Fri",11,"Morning"
"16","ID0016","Becky",2021-01-01,"11:55:41","Admin Support","Y","Y",63,"0:05:26",2,326.1509259,5.433333333,2021,1,"Fri",11,"Morning"
"17","ID0017","Greg",2021-01-01,"11:57:07","Technical Support","Y","Y",45,"0:05:32",5,332.1537037,5.533333333,2021,1,"Fri",11,"Morning"
"18","ID0018","Becky",2021-01-01,"11:57:07","Admin Support","N","N",NA,"",NA,0,0,2021,1,"Fri",11,"Morning"
"19","ID0019","Jim",2021-01-01,"12:01:26","Streaming","N","N",NA,"",NA,0,0,2021,1,"Fri",12,"Morning"
"20","ID0020","Jim",2021-01-01,"12:01:26","Contract related","Y","Y",101,"0:02:27",3,147.0680556,2.45,2021,1,"Fri",12,"Morning"
"21","ID0021","Jim",2021-01-01,"12:02:53","Technical Support","Y","Y",74,"0:05:22",5,322.1490741,5.366666667,2021,1,"Fri",12,"Morning"
"22","ID0022","Dan",2021-01-01,"12:02:53","Admin Support","Y","Y",89,"0:05:50",5,350.162037,5.833333333,2021,1,"Fri",12,"Morning"
"23","ID0023","Martha",2021-01-01,"12:02:53","Technical Support","N","N",NA,"",NA,0,0,2021,1,"Fri",12,"Morning"
"24","ID0024","Joe",2021-01-01,"12:02:53","Technical Support","Y","Y",68,"0:05:25",2,325.150463,5.416666667,2021,1,"Fri",12,"Morning"
"25","ID0025","Diane",2021-01-01,"12:30:14","Streaming","Y","Y",97,"0:04:09",3,249.1152778,4.15,2021,1,"Fri",12,"Morning"
"26","ID0026","Dan",2021-01-01,"12:30:14","Payment related","N","N",NA,"",NA,0,0,2021,1,"Fri",12,"Morning"
"27","ID0027","Joe",2021-01-01,"12:40:19","Streaming","Y","Y",39,"0:04:00",3,240.1111111,4,2021,1,"Fri",12,"Morning"
"28","ID0028","Martha",2021-01-01,"12:40:19","Contract related","Y","Y",51,"0:02:34",4,154.0712963,2.566666667,2021,1,"Fri",12,"Morning"
"29","ID0029","Joe",2021-01-01,"12:40:19","Technical Support","Y","Y",106,"0:02:09",4,129.0597222,2.15,2021,1,"Fri",12,"Morning"
"30","ID0030","Stewart",2021-01-01,"12:40:19","Streaming","Y","Y",107,"0:05:55",3,355.1643519,5.916666667,2021,1,"Fri",12,"Morning"
"31","ID0031","Joe",2021-01-01,"13:24:58","Admin Support","Y","Y",22,"0:05:08",3,308.1425926,5.133333333,2021,1,"Fri",13,"Afternoon"
"32","ID0032","Joe",2021-01-01,"13:24:58","Streaming","Y","Y",122,"0:02:08",4,128.0592593,2.133333333,2021,1,"Fri",13,"Afternoon"
"33","ID0033","Diane",2021-01-01,"13:33:36","Technical Support","Y","Y",57,"0:06:49",3,409.1893519,6.816666667,2021,1,"Fri",13,"Afternoon"
"34","ID0034","Jim",2021-01-01,"13:33:36","Payment related","Y","N",53,"0:01:44",2,104.0481481,1.733333333,2021,1,"Fri",13,"Afternoon"
"35","ID0035","Becky",2021-01-01,"13:42:14","Streaming","Y","Y",119,"0:01:31",5,91.04212963,1.516666667,2021,1,"Fri",13,"Afternoon"
"36","ID0036","Diane",2021-01-01,"13:42:14","Streaming","N","N",NA,"",NA,0,0,2021,1,"Fri",13,"Afternoon"
"37","ID0037","Martha",2021-01-01,"13:42:14","Technical Support","Y","N",20,"0:01:12",2,72.03333333,1.2,2021,1,"Fri",13,"Afternoon"
"38","ID0038","Joe",2021-01-01,"13:42:14","Technical Support","Y","Y",52,"0:00:36",3,36.01666667,0.6,2021,1,"Fri",13,"Afternoon"
"39","ID0039","Stewart",2021-01-01,"14:38:24","Contract related","Y","Y",74,"0:06:41",1,401.1856481,6.683333333,2021,1,"Fri",14,"Afternoon"
"40","ID0040","Greg",2021-01-01,"14:38:24","Technical Support","Y","Y",49,"0:02:29",3,149.0689815,2.483333333,2021,1,"Fri",14,"Afternoon"
"41","ID0041","Jim",2021-01-01,"14:47:02","Technical Support","Y","Y",27,"0:02:09",5,129.0597222,2.15,2021,1,"Fri",14,"Afternoon"
"42","ID0042","Greg",2021-01-01,"14:47:02","Contract related","Y","Y",100,"0:04:54",5,294.1361111,4.9,2021,1,"Fri",14,"Afternoon"
